order_id,customer,order_amount
ORD001,Rahul,750
ORD002,Neha,1500
ORD003,Aman,1200
ORD004,Vikram,750
ORD005,Ananya,750
ORD006,Rahul,2500
ORD007,Priya,500
ORD008,Neha,1200
ORD009,Ananya,5000
ORD010,Vikram,500
ORD011,Vikram,1200
ORD012,Neha,2500
ORD013,Ananya,3000
ORD014,Rahul,1500
ORD015,Karan,1000
ORD016,Riya,2000
ORD017,Neha,1000
ORD018,Priya,2000
ORD019,Karan,750
ORD020,Arjun,750
ORD021,Ananya,2000
ORD022,Rahul,1500
ORD023,Vikram,3000
ORD024,Karan,750
ORD025,Vikram,750
ORD026,Ananya,1500
ORD027,Ananya,2000
ORD028,Priya,1200
ORD029,Neha,500
ORD030,Priya,1500
ORD031,Priya,1200
ORD032,Riya,2500
ORD033,Arjun,3000
ORD034,Arjun,1000
ORD035,Neha,2000
ORD036,Priya,1500
ORD037,Vikram,1000
ORD038,Aman,1200
ORD039,Karan,3000
ORD040,Vikram,1500
ORD041,Arjun,1200
ORD042,Neha,500
ORD043,Arjun,500
ORD044,Riya,2500
ORD045,Neha,750
ORD046,Neha,2000
ORD047,Karan,3000
ORD048,Aman,3000
ORD049,Aman,1500
ORD050,Vikram,1200
ORD051,Riya,5000
ORD052,Ananya,2500
ORD053,Arjun,2500
ORD054,Aman,1200
ORD055,Sneha,5000
ORD056,Rahul,750
ORD057,Aman,750
ORD058,Karan,1000
ORD059,Karan,750
ORD060,Ananya,2500
ORD061,Vikram,3000
ORD062,Vikram,1500
ORD063,Priya,500
ORD064,Riya,5000
ORD065,Priya,2000
ORD066,Karan,1500
ORD067,Sneha,1000
ORD068,Riya,500
ORD069,Aman,5000
ORD070,Priya,5000
ORD071,Vikram,1500
ORD072,Aman,1200
ORD073,Aman,2000
ORD074,Vikram,5000
ORD075,Ananya,500
ORD076,Sneha,2000
ORD077,Priya,500
ORD078,Riya,2000
ORD079,Rahul,1200
ORD080,Ananya,1200
ORD081,Priya,750
ORD082,Priya,3000
ORD083,Aman,5000
ORD084,Sneha,1000
ORD085,Aman,5000
ORD086,Vikram,1500
ORD087,Neha,2500
ORD088,Neha,5000
ORD089,Karan,1500
ORD090,Sneha,2000
ORD091,Sneha,5000
ORD092,Neha,750
ORD093,Priya,1200
ORD094,Rahul,2000
ORD095,Neha,5000
ORD096,Rahul,1200
ORD097,Rahul,750
ORD098,Priya,1200
ORD099,Arjun,500
ORD100,Vikram,750
